step	f1_score
0	0.8528375625610352
1	0.8832920789718628
2	0.9003258347511292
3	0.9135562777519226
4	0.9281117916107178
5	0.9546757936477661
6	0.9634612798690796
7	0.9665891528129578
8	0.9727557301521301
9	0.975459635257721
10	0.9774743914604187
11	0.9802737236022949
12	0.9823034405708313
13	0.9846289753913879
14	0.9872573018074036
15	0.9863763451576233
16	0.9878427386283875
17	0.9883539080619812
18	0.9903388023376465
19	0.9896737337112427
20	0.9893079400062561
21	0.9915177822113037
22	0.9925516843795776
23	0.9934396743774414
24	0.9941056966781616
25	0.9940316081047058
26	0.992326557636261
27	0.9947745203971863
28	0.9952195286750793
29	0.9938082695007324
