step	precision
0	0.5048006772994995
1	0.5252757668495178
2	0.5459727644920349
3	0.5879526734352112
4	0.6189087629318237
5	0.6701282858848572
6	0.7281360626220703
7	0.7829751968383789
8	0.818926990032196
9	0.8556101322174072
10	0.8743227124214172
11	0.8992805480957031
12	0.9271153211593628
13	0.8703850507736206
14	0.9185256958007812
15	0.9473609328269958
16	0.9430155158042908
17	0.9678404927253723
18	0.9308114051818848
19	0.9371912479400635
20	0.9591630697250366
21	0.9808485507965088
22	0.9838876724243164
23	0.9868147969245911
24	0.9297752976417542
25	0.9184013605117798
26	0.9759601354598999
27	0.9752236008644104
28	0.978955090045929
29	0.980400800704956
